Ano,Natureza,Via,TRL,Projeto,Instituição,Setor,Segmento,Receita,Coordenador,Unidade,Cidade,Região,Bolsas de Graduação,Bolsas de Mestrado,Bolsas de Doutorado,Bolsas de Pesquisadores,Bolsas de Coordenador,Bolsas de Nível Médio/Aprendiz,Bolsas de Professores,Total de Bolsas,Vigência,,Vigente,SEI
2017,PD&I,IAUPE,5,ANÁLISE DE DADOS NO CADASTRO DA REDE DE DISTRIBUIÇÃO SECUNDÁRIA DE ENERGIA,IN FORMA SOFTWARE S.A.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 54.120,00",ALEXANDRE MAGNO ANDRADE MACIEL,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,1,2,NÃO INFORMADO,NÃO INFORMADO,1,NÃO INFORMADO,NÃO INFORMADO,4,01/08/2017,01/08/2022,NÃO VIGENTE,0040610072.000028/2023-34
2017,PD&I,IAUPE,5,UM SISTEMA DE PREDIÇÃO BASEADO EM SENTENÇAS JUDICIAIS EXTRAÍDAS DE DADOS OFICIAIS DO SISTEMA JUDICIÁRIO UTILIZANDO MINERAÇÃO TEXTUAL,KURIER TECNOLOGIA EM INFORMAÇÃO LTDA,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 62.040,00",ALEXANDRE MAGNO ANDRADE MACIEL,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,1,2,NÃO INFORMADO,NÃO INFORMADO,2,NÃO INFORMADO,NÃO INFORMADO,5,01/08/2017,01/08/2022,NÃO VIGENTE,0040610072.000033/2023-47
2018,PD&I,IAUPE,NÃO INFORMADO,ALGORÍTMOS DE RECONHECIMENTO DE ESCRITA E PROCESSAMENTO DE IMAGENS PARA BPO DE DOCUMENTOS,CALLERE SOLUÇÕES E COMERCIALIZAÇÃO EM INFORMÁTICA S/A,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 67.320,00",BYRON LEITE DANTAS BEZERRA,POLI,OLINDA - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,01/2018,08/2020,NÃO VIGENTE,0040610072.000035/2023-36
2018,PD&I,IAUPE,NÃO INFORMADO,PROJETO 1: ANÁLISE DA VIDA ÚTIL DE EQUIPAMENTOS ELETRODOMÉSTICOS PROTEGIDOS POR DISPOSITIVO DE PROTEÇÃO CONTRA SURTOS.,"CLAMPER INDÚSTRIA E
COMÉRCIO S.A",PRIVADO,INDÚSTRIA DE ELETRÔNICOS,"R$ 98.640,00",GUSTAVO OLIVEIRA CAVALCANTI,NÃO INFORMADO,LAGOA SANTA - MG,EXTERNO,1,1,NÃO INFORMADO,2,1,NÃO INFORMADO,NÃO INFORMADO,5,29/03/2018,31/08/2018,NÃO VIGENTE,0040610072.000037/2023-25
2019,PD&I,IAUPE,NÃO INFORMADO,INTEGRAÇÃO DE SISTEMA DE ANALYTICS EM TEMPO REAL EM PLANTA INDUSTRIAL,"ASA INDÚSTRIA E COMÉRCIO
LTDA.",PRIVADO,INDÚSTRIA DE LIMPEZA E HIGIENE,"R$ 24.960,00",GILBERTO DÊNIS DE SOUZA LEITE FILHO,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,1,NÃO INFORMADO,1,1,NÃO INFORMADO,NÃO INFORMADO,3,19/07/2019,31/12/2019,NÃO VIGENTE,0040610072.000027/2023-90
2019,PD&I,IAUPE,NÃO INFORMADO,SUB PROJETO Nº 1: ESTUDO DE ISOLADOS DO VÍRUS DA ARTRITE-ENCEFALITE CAPRINA (CAEV) PARA IMUNOTERAPIA DE INFECÇÕES POR RETROVÍRUS HETERÓLOGOS,OF JOSEPH PB&T BRASIL LTDA.,PRIVADO,PESQUISA E DESENVOLVIMENTO,"R$ 746.531,82",PATRICIA MOURA,ICB,GOIANA - PE,MATA NORTE,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,05/11/2019,05/11/2020,NÃO VIGENTE,0040608325.000169/2022-13
2019,PD&I,IAUPE,NÃO INFORMADO,TERMO ADITIVO - CONVÊNIO - UPE - IAUPE - OF JOSEPH PB&T BRASIL LTDA QUE TEM POR OBJETIVO A PRORROGAÇÃO DA VIGÊNCIA DO CONVÊNIO FIRMADO PELAS PARTES EM 20 DE AGOSTO DE 2019,OF JOSEPH PB&T BRASIL LTDA.,PRIVADO,PESQUISA E DESENVOLVIMENTO,NÃO INFORMADO,PATRICIA MOURA,ICB,GOIANA - PE,MATA NORTE,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,20/08/2019,01/09/2025,NÃO VIGENTE,0040608325.000169/2022-13
2019,PD&I,IAUPE,NÃO INFORMADO,PAMESA 4.0 - DIGITALIZANDO A MANUFATURA,PAMESA DO BRASIL S/A,PRIVADO,INDÚSTRIA DE MATERIAIS DE CONSTRUÇÃO,"R$ 30.000,00",GILBERTO DÊNIS DE SOUZA LEITE FILHO,POLI,CABO DE SANTO AGOSTINHO - PE,RMR - NÚCLEO OESTE/SUL,2,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,1,NÃO INFORMADO,NÃO INFORMADO,3,02/12/2019,31/12/20,NÃO VIGENTE,0040610072.000005/2023-20
2019,PD&I,IAUPE,NÃO INFORMADO,DESENVOLVIMENTO DE UM PORTAL DE ANÁLISE DE IMAGENS,PUMATRONIX EQUIPAMENTOS ELETRÔNICOS LTDA.,PRIVADO,TECNOLOGIA DA INFORMAÇÃO,"R$ 104.975,00",JOÃO FAUSTO LORENZATO DE OLIVEIRA,POLI,CURITIBA - PR,EXTERNO,NÃO INFORMADO,NÃO INFORMADO,2,1,1,NÃO INFORMADO,NÃO INFORMADO,4,03/12/2019,03/12/2021,NÃO VIGENTE,0040610072.000029/2023-89
2019,RESITEC,UPE,NÃO INFORMADO,PE 4.0,SUDENE,PÚBLICO,PESQUISA E DESENVOLVIMENTO,"R$ 340.000,00",DJALMA SILVA GUIMARÃES JUNIOR,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,30/12/2019,30/06/2023,NÃO VIGENTE,0040608325.000026/2020-31
2019,RESITEC,UPE,NÃO INFORMADO,CLOUD COMPUTING,SUDENE,PÚBLICO,PESQUISA E DESENVOLVIMENTO,"R$ 425.000,00",PAULO HUGO ESPÍRITO SANTO LIMA,POLI,RECIFE - PE,RMR - NÚCLEO CENTRO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,0,30/12/2029,30/12/2024,NÃO VIGENTE,0040608325.000117/2023-10
2020,PD&I,IAUPE,NÃO INFORMADO,ACIONAMENTO REMOTO DO SISTEMA PARA AVANÇO DE FERRAMENTA DA ROOT GRINDER,ACE SCHMERSAL ELETROELETRÔNICA INDUSTRIAL LTDA.,PRIVADO,INDÚSTRIA DE ELETRÔNICOS,"R$ 13.986,51",ROGÉRIO PONTES DE ARAÚJO,POLI,BOITUVA - SP,EXTERNO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,1,NÃO INFORMADO,NÃO INFORMADO,1,08/01/2020,08/03/2020,NÃO VIGENTE,0040610072.000013/2023-76
2020,PD&I,IAUPE,NÃO INFORMADO,PROJETO 2: ANÁLISE DA VIDA ÚLTIL DE MODEMS ÓPTICOS SUBMETIDOS A SURTOS DE ALTA TENSÃO COM E SEM A PROTEÇÃO DE DISPOSITIVO DE PROTEÇÃO CONTRA SURTOS.,"CLAMPER INDÚSTRIA E
COMÉRCIO S.A",PRIVADO,INDÚSTRIA DE ELETRÔNICOS,"R$ 99.775,00",GUSTAVO OLIVEIRA CAVALCANTI,NÃO INFORMADO,LAGOA SANTA - MG,EXTERNO,1,3,NÃO INFORMADO,2,1,NÃO INFORMADO,NÃO INFORMADO,7,01/05/2020,31/05/2021,NÃO VIGENTE,0040610072.000037/2023-25
2020,PD&I,IAUPE,NÃO INFORMADO,QUALYCRIL – FLOWBOARD ONLINE,QUALYCRIL SOLUÇÕES PARA A CONSTRUÇÃO CIVIL LTDA.,PRIVADO,INDÚSTRIA DE MATERIAIS DE CONSTRUÇÃO,"R$ 30.285,71",GILBERTO DÊNIS DE SOUZA LEITE FILHO,POLI,JANDIRA - SP,EXTERNO,1,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,1,NÃO INFORMADO,NÃO INFORMADO,2,04/05/2020,04/05/2021,NÃO VIGENTE,0040610072.000024/2023-56
