Processo,Data de deposito,Nome da patente ,Autores,Cliente,Campus UPE,Depositantes,Código ,Status INPI,Territorio,Ultima atualização,Checagem,
BR 10 2025 020973 0,29/09/2025,CURATIVO DÉRMICO BIODEGRADÁVEL E SUSTENTÁVEL PARA O TRATAMENTO DE FERIDAS CRÔNICAS OU DE DIFÍCIL CICATRIZAÇÃO,"PRISCILLA BARBOSA SALES DE ALBUQUERQUE (UPE), ANA CAROLINA DE CARVALHO CORREIA (UPE), LUIZA RAYANNA AMORIM DE LIMA (UPE), NATALIE EMANUELLE RIBEIRO RODRIGUES (UPE), JAMYLLE NUNES DE SOUZA FERRO (UFAL), DANIEL MEDEIROS NUNES (UPE), FERNANDA ALEXANDRE DA SILVA (UFAL), EVERLAINE LEITE ESTEVAM DOS SANTOS (UFAL)",UPE,ICB,"UPE, UFAL",2.1,NOTIFICAÇÃO DE RECEBIMENTO DO PEDIDO DE PATENTE OU CERTIFICADO DE ADIÇÃO,BRASIL,7/10/2025,18/12/2025,NÃO INFORMADO
BR 10 2025 020807 5,26/09/2025,PROCESSO DE SÍNTESE VERDE À FRIO DE NANOPARTÍCULAS DE PRATA A PARTIR DE EXTRATO AQUOSO DE ANGICO PARA USO EM CICATRIZAÇÃO DE FERIDAS,"ANAÍS BEZERRA DE GUSMÃO (UPE), ANA CAROLINA DE CARVALHO CORREIA (UPE), PEDRO HENRIQUE SETTE DE SOUZA (UPE), CASSIO ERACLITO ALVES DOS SANTOS (UFAL), JOHNNATAN DUARTE DE FREITAS (IFAL), CLARA ANDREZZA CRISÓSTOMO BEZERRA COSTA (IFAL)",UPE,"GARANHUNS, ARCOVERDE","UPE, UFAL, IFAL",2.1,NOTIFICAÇÃO DE RECEBIMENTO DO PEDIDO DE PATENTE OU CERTIFICADO DE ADIÇÃO,BRASIL,07/10/2025,18/12/2025,NÃO INFORMADO
BR 20 2025 017223 8,15/08/2025,EXTRATO DE PASSIFLORA ALATA CURTIS MICORRIZADA COM ATIVIDADE ANTI- INFLAMATÓRIA E NEUROPROTETORA,"SURA WANESSA NOGUEIRA SANTOS ROCHA (UPE), FÁBIO SÉRGIO BARBOSA DA SILVA (UPE), THAYS FERNANDA DA SILVA (UPE), EDUARDA LINS FALCÃO (UPE), LARISSA VALESKA MARIA DA SILVA BRITO (UPE)",UPE,ICB,UPE,2.1,NOTIFICAÇÃO DE RECEBIMENTO DO PEDIDO DE PATENTE OU CERTIFICADO DE ADIÇÃO,BRASIL,26/08/2025,18/12/2025,NÃO INFORMADO
BR 10 2025 016059 5,31/07/2025,NÃO INFORMADO,NÃO INFORMADO,UFPE,NÃO INFORMADO,"UFPE, IFPE, UPE",2.1,NOTIFICAÇÃO DE RECEBIMENTO DO PEDIDO DE PATENTE OU CERTIFICADO DE ADIÇÃO,BRASIL,12/08/2025,18/12/2025,NÃO INFORMADO
BR 10 2025 014346 1,11/07/2025,EQUIPAMENTO PARA ALERTA E MONITORAMENTO DE NÍVEL DE RUÍDO EM HOSPITAIS,"MARCO AURÉLIO DE VALOIS CORREIA JÚNIOR (UPE), MARCÍLIO ANDRÉ FÉLIX FEITOSA (UPE), GUSTAVO OLIVEIRA CAVALCANTI (UPE), JULIANA BARROS MARANHÃO (UPE), EDIL DE ALBUQUERQUE RODRIGUES FILHO (UFPE), EMÍLIA CHAGAS COSTA (UFPE)",UPE,"FCM, POLI","UPE, UFPE",2.1,PEDIDO DE PATENTE OU CERTIFICADO DE ADIÇÃO DE INVENÇÃO DEPOSITADO,BRASIL,02/12/2025,18/12/2025,NÃO INFORMADO
BR 10 2025 002785 2,12/02/2025,CURATIVO DÉRMICO (POLISSAG DERM) BIODEGRADÁVEL E SUSTENTÁVEL PARA O TRATAMENTO DE FERIDAS CRÔNICAS OU DE DIFÍCIL CICATRIZAÇÃO,"PRISCILLA BARBOSA SALES DE ALBUQUERQUE (UPE), ANA CAROLINA DE CARVALHO CORREIA  (UPE), LUIZA RAYANNA AMORIM DE LIMA (UPE), NATALIE EMANUELLE RIBEIRO RODRIGUES (UPE), JAMYLLE NUNES DE SOUZA FERRO (UFAL), DANIEL MEDEIROS NUNES (UPE), FERNANDA ALEXANDRE DA SILVA  (UFAL), EVERLAINE LEITE ESTEVAM DOS SANTOS (UFAL)",UPE,GARANHUNS,"UPE, UFAL",15.21,"DOCUMENTAÇÃO ARQUIVADA E DEPÓSITO NÃO EFETUADO TENDO EM VISTA FALTA DE CUMPRIMENTO DE EXIGÊNCIA FORMAL, CONFORME ART. 21 DA LEI 9279/96 E ART. 5º §3º DA PORTARIA INPI/DIRPA 14/2024",BRASIL,16/09/2025,18/12/2025,NÃO INFORMADO
BR 10 2025 002182 0,04/02/2025,FLUIDO ANTIMICROBIANO A BASE DE ALGINATO INCORPORADO COM NANOPARTÍCULAS DO TIPO ZIF-8 E COBRE COMO MEDICAÇÃO INTRACANAL,"MARLENY ELIZABETH MÁRQUEZ DE MARTINEZ GERBI (UPE), SEVERINO ALVES JUNIOR (UFPE), ELOIZA LEONARDO DE MELO (UPE), JÉSSICA MEIRINHOS MIRANDA (UPE), CAIO DE LIMA PIRES (UPE), SUZANE IVILA SANTOS DA ROCHA (UPE), NATHALIA SEIMI DEAMA (UPE), IVALDO RODRIGUES DE ARAÚJO (UFPE), MARIA REGINA ALMEIDA DE MENEZES (UPE)",UPE,FOP,"UPE, UFPE",2.1,PEDIDO DE PATENTE OU CERTIFICADO DE ADIÇÃO DE INVENÇÃO DEPOSITADO,BRASIL,15/07/2025,18/12/2025,NÃO INFORMADO
BR 10 2025 002183 8,04/02/2025,SÍNTESE DE UM CURATIVO BIOADESIVO COM EFICÁCIA ANTIBACTERIANA SOBRE O STREPTOCCOCUS MUTANS,"MARLENY ELIZABETH MÁRQUEZ DE MARTINEZ GERBI (UPE), ALISON MENDES SILVA DE MELO (UPE), SEVERINO ALVES JUNIOR (UFPE), ELOIZA LEONARDO DE MELO (UPE), JÉSSICA MEIRINHOS MIRANDA (UPE), CLÁUDIO PAULO PEREIRA DE ASSIS (UPE), CAIO DE LIMA PIRES (UPE), SUZANE IVILA SANTOS DA ROCHA (UPE), NATHALIA SEIMI DEAMA (UPE)",UPE,FOP,UPE,2.1,PEDIDO DE PATENTE OU CERTIFICADO DE ADIÇÃO DE INVENÇÃO DEPOSITADO,BRASIL,11/11/2025,18/12/2025,NÃO INFORMADO
BR 10 2024 027612 4,30/12/2024,PROCESSO DE BIOSSEPARAÇÃO INTEGRADA DE FICOCIANINA OBTIDA DE UM MICRORGANISMO FOTOSSINTETIZANTE EM COLUNA ÚNICA,"DANIELA DE ARAÚJO VIANA MARQUES (UPE), MARIA RAFAELE OLIVEIRA BEZERRA DA SILVA (UPE)L BRUNA EMANUELLE GOMES DO NASCIMENTO (UPE)",UPE,ICB,UPE,15.21,"DOCUMENTAÇÃO ARQUIVADA E DEPÓSITO NÃO EFETUADO TENDO EM VISTA FALTA DE CUMPRIMENTO DE EXIGÊNCIA FORMAL, CONFORME ART. 21 DA LEI 9279/96 E ART. 5º §3º DA PORTARIA INPI/DIRPA 14/2024",BRASIL,15/07/2025,18/12/2025,NÃO INFORMADO
BR 10 2024 026204 2,13/12/2024,"PROCESSO DE SÍNTESE VERDE À FRIO DE NANOPARTÍCULAS
DE PRATA A PARTIR DE EXTRATO AQUOSO DE ANGICO PARA
USO EM CICATRIZAÇÃO DE FERIDAS","ANAÍS BEZERRA DE GUSMÃO (UPE), ANA CAROLINA DE CARVALHO CORREIA (UPE), PEDRO HENRIQUE SETTE DE SOUZA (UPE), CASSIO ERACLITO ALVES DOS SANTOS (UFAL), JOHNNATAN DUARTE DE FREITAS (IFAL), CLARA ANDREZZA CRISÓSTOMO BEZERRA COSTA (UFAL)",UPE,GARANHUNS,"UPE, UFAL, IFAL",15.21,"DOCUMENTAÇÃO ARQUIVADA E DEPÓSITO NÃO EFETUADO TENDO EM VISTA FALTA DE CUMPRIMENTO DE EXIGÊNCIA FORMAL, CONFORME ART. 21 DA LEI 9279/96 E ART. 5º §3º DA PORTARIA INPI/DIRPA 14/2024",BRASIL,17/06/2025,18/12/2025,NÃO INFORMADO
