PROGRAMA,SITUAÇÃO,NIVEL,MASCULINO,FEMININO,TOTAL
BIOLOGIA CELULAR E MOLECULAR APLICADA,MATRICULADO,MESTRADO,12,31,43
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,23,35,58
NÃO INFORMADO,TITULADO,MESTRADO,3,6,9
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,3,4,7
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,1,0,1
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,0,0,0
CIÊNCIA E TECNOLOGIA AMBIENTAL,MATRICULADO,MESTRADO,22,36,58
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,3,7,10
NÃO INFORMADO,TITULADO,MESTRADO,0,12,12
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,0,0,0
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,1,1,2
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,0,1,1
CIENCIAS DA SAUDE,MATRICULADO,MESTRADO,14,19,33
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,16,35,51
NÃO INFORMADO,TITULADO,MESTRADO,7,9,16
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,0,2,2
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,0,0,0
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,0,0,0
EDUCAÇÃO,MATRICULADO,MESTRADO,22,45,67
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,20,23,43
NÃO INFORMADO,TITULADO,MESTRADO,9,20,29
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,0,0,0
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,0,0,0
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,0,0,0
EDUCAÇÃO FÍSICA ACADÊMICO,MATRICULADO,MESTRADO,14,18,32
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,27,23,50
NÃO INFORMADO,TITULADO,MESTRADO,4,3,7
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,2,2,4
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,0,1,1
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,0,0,0
EDUCAÇÃO FÍSICA PROFISSIONAL,MATRICULADO,MESTRADO,27,18,45
NÃO INFORMADO,TITULADO,MESTRADO,6,11,17
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,0,0,0
EDUCAÇÃO INCLUSIVA,MATRICULADO,MESTRADO,10,27,37
NÃO INFORMADO,TITULADO,MESTRADO,2,5,7
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,0,1,1
ENFERMAGEM,MATRICULADO,MESTRADO,7,43,50
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,10,33,43
NÃO INFORMADO,TITULADO,MESTRADO,3,10,13
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,0,8,8
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,0,0,0
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,0,0,0
ENGENHARIA CIVIL,MATRICULADO,MESTRADO,31,30,61
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,5,3,8
NÃO INFORMADO,TITULADO,MESTRADO,9,7,16
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,0,0,0
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,9,2,11
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,0,0,0
ENGENHARIA COMPUTAÇÃO,MATRICULADO,MESTRADO,134,32,166
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,97,33,130
NÃO INFORMADO,TITULADO,MESTRADO,2,2,4
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,0,0,0
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,2,4,6
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,6,1,7
ENGENHARIA DE SISTEMAS,MATRICULADO,MESTRADO,56,12,68
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,29,6,35
NÃO INFORMADO,TITULADO,MESTRADO,9,2,11
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,0,0,0
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,8,2,10
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,0,0,0
ENSINO DE HISTÓRIA,MATRICULADO,MESTRADO,24,15,39
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,2,1,3
NÃO INFORMADO,TITULADO,MESTRADO,8,3,11
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,0,0,0
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,1,0,1
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,0,0,0
ETNOBIOLOGIA E CONSERVAÇÃO DA NATUREZA,MATRICULADO,MESTRADO,1,3,4
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,6,6,12
NÃO INFORMADO,TITULADO,MESTRADO,2,2,4
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,1,2,3
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,1,0,1
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,0,0,0
FORMAÇÃO DE PROFESSORES E PRÁTICAS INTERDISCIPLINARES,MATRICULADO,MESTRADO,15,44,59
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,7,19,26
NÃO INFORMADO,TITULADO,MESTRADO,8,12,20
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,0,0,0
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,0,0,0
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,0,0,0
GESTÃO DO DESENVOLVIMENTO LOCAL SUSTENTÁVEL,MATRICULADO,MESTRADO,28,43,71
NÃO INFORMADO,TITULADO,MESTRADO,4,8,12
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,1,0,1
HEBIATRIA,MATRICULADO,MESTRADO,1,19,20
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,8,24,32
NÃO INFORMADO,TITULADO,MESTRADO,1,6,7
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,1,5,6
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,0,3,3
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,1,0,1
LETRAS - MATA NORTE,MATRICULADO,MESTRADO,11,31,42
NÃO INFORMADO,TITULADO,MESTRADO,3,4,7
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,0,0,0
LETRAS - GARANHUNS,MATRICULADO,MESTRADO,12,40,52
NÃO INFORMADO,TITULADO,MESTRADO,3,2,5
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,0,0,0
LETRAS - PETROLINA,MATRICULADO,MESTRADO,0,0,0
NÃO INFORMADO,TITULADO,MESTRADO,0,0,0
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,0,0,0
ODONTOLOGIA,MATRICULADO,MESTRADO,12,29,41
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,10,31,41
NÃO INFORMADO,TITULADO,MESTRADO,4,10,14
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,3,4,7
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,0,2,2
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,0,0,0
PERÍCIAS FORENSES,MATRICULADO,MESTRADO,24,44,68
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,6,11,17
NÃO INFORMADO,TITULADO,MESTRADO,2,1,3
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,0,0,0
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,0,0,0
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,0,0,0
PRÁTICAS E INOVAÇÃO EM SAÚDE MENTAL,MATRICULADO,MESTRADO,32,65,97
NÃO INFORMADO,TITULADO,MESTRADO,1,7,8
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,0,1,1
PROCESSOS E PRODUTOS EDUCACIONAIS,MATRICULADO,MESTRADO,0,0,0
NÃO INFORMADO,TITULADO,MESTRADO,0,0,0
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,0,0,0
REABILITAÇÃO E DESEMPENHO FUNCIONAL,MATRICULADO,MESTRADO,7,23,30
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,7,28,35
NÃO INFORMADO,TITULADO,MESTRADO,1,5,6
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,1,3,4
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,0,0,0
NÃO INFORMADO,NÃO INFORMADO,DOUTORADO,0,1,1
SAÚDE COLETIVA,MATRICULADO,MESTRADO,3,17,20
NÃO INFORMADO,TITULADO,MESTRADO,0,0,0
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,0,0,0
SAÚDE E DESENVOLVIMENTO SOCIOAMBIENTAL,MATRICULADO,MESTRADO,40,46,86
NÃO INFORMADO,TITULADO,MESTRADO,1,1,2
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,0,1,1
PROFNIT,MATRICULADO,MESTRADO,0,0,0
NÃO INFORMADO,TITULADO,MESTRADO,0,0,0
NÃO INFORMADO,DESLIGADO/ABANDONO,MESTRADO,0,0,0
TOTAL,NÃO INFORMADO,NÃO INFORMADO,969,1247,2216
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
TOTAL MATRICULADOS,MESTRADO,NÃO INFORMADO,1289,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,DOUTORADO,NÃO INFORMADO,594,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,TOTAL,NÃO INFORMADO,1883,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
TOTAL TITULADOS,MESTRADO,NÃO INFORMADO,240,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,DOUTORADO,NÃO INFORMADO,41,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,TOTAL,NÃO INFORMADO,281,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
TOTAL MASCULINO,MESTRADO,NÃO INFORMADO,651,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,DOUTORADO,NÃO INFORMADO,287,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,TOTAL,NÃO INFORMADO,938,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
TOTAL FEMININO,MESTRADO,NÃO INFORMADO,878,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,DOUTORADO,NÃO INFORMADO,348,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,TOTAL,NÃO INFORMADO,1226,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
TOTAL,MESTRADO,NÃO INFORMADO,1529,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,DOUTORADO,NÃO INFORMADO,635,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,STRICTO SENSU,NÃO INFORMADO,2164,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
QUANTIDADE DE ALUNOS POR UNIDADE,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
FOP,MESTRADO,NÃO INFORMADO,153,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,DOUTORADO,NÃO INFORMADO,103,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,TOTAL,NÃO INFORMADO,256,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
FCM,MESTRADO,NÃO INFORMADO,69,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,DOUTORADO,NÃO INFORMADO,53,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,TOTAL,NÃO INFORMADO,122,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
FENSG,MESTRADO,NÃO INFORMADO,63,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,DOUTORADO,NÃO INFORMADO,51,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,TOTAL,NÃO INFORMADO,114,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
ESEF,MESTRADO,NÃO INFORMADO,101,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,DOUTORADO,NÃO INFORMADO,54,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,TOTAL,NÃO INFORMADO,155,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
ICB,MESTRADO,NÃO INFORMADO,52,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,DOUTORADO,NÃO INFORMADO,65,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,TOTAL,NÃO INFORMADO,117,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
POLI,MESTRADO,NÃO INFORMADO,326,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,DOUTORADO,NÃO INFORMADO,173,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,TOTAL,NÃO INFORMADO,499,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
FCAP,MESTRADO,NÃO INFORMADO,83,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,DOUTORADO,NÃO INFORMADO,0,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,TOTAL,NÃO INFORMADO,83,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
MATA NORTE,MESTRADO,NÃO INFORMADO,247,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,DOUTORADO,NÃO INFORMADO,61,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,TOTAL,NÃO INFORMADO,308,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
GARANHUNS,MESTRADO,NÃO INFORMADO,250,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,DOUTORADO,NÃO INFORMADO,0,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,TOTAL,NÃO INFORMADO,250,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO
PETROLINA,MESTRADO,NÃO INFORMADO,185,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,DOUTORADO,NÃO INFORMADO,75,NÃO INFORMADO,NÃO INFORMADO
NÃO INFORMADO,TOTAL,NÃO INFORMADO,260,NÃO INFORMADO,NÃO INFORMADO
