ANO_INOV,NATUREZA_INOV,VIA_INOV,PROJETO_INOV,UNIDADE_INOV,CIDADE_INOV
2017,PD&I,IAUPE,ANÁLISE DE DADOS NO CADASTRO DA REDE DE DISTRIBUIÇÃO SECUNDÁRIA DE ENERGIA,POLI,RECIFE - PE
2017,PD&I,IAUPE,UM SISTEMA DE PREDIÇÃO BASEADO EM SENTENÇAS JUDICIAIS EXTRAÍDAS DE DADOS OFICIAIS DO SISTEMA JUDICIÁRIO UTILIZANDO MINERAÇÃO TEXTUAL,POLI,RECIFE - PE
2018,PD&I,IAUPE,ALGORÍTMOS DE RECONHECIMENTO DE ESCRITA E PROCESSAMENTO DE IMAGENS PARA BPO DE DOCUMENTOS,POLI,OLINDA - PE
2018,PD&I,IAUPE,PROJETO 1: ANÁLISE DA VIDA ÚTIL DE EQUIPAMENTOS ELETRODOMÉSTICOS PROTEGIDOS POR DISPOSITIVO DE PROTEÇÃO CONTRA SURTOS.,UNIDADE NÃO INFORMADA,LAGOA SANTA - MG
2019,PD&I,IAUPE,INTEGRAÇÃO DE SISTEMA DE ANALYTICS EM TEMPO REAL EM PLANTA INDUSTRIAL,POLI,RECIFE - PE
2019,PD&I,IAUPE,SUB PROJETO Nº 1: ESTUDO DE ISOLADOS DO VÍRUS DA ARTRITE-ENCEFALITE CAPRINA (CAEV) PARA IMUNOTERAPIA DE INFECÇÕES POR RETROVÍRUS HETERÓLOGOS,ICB,GOIANA - PE
2019,PD&I,IAUPE,TERMO ADITIVO - CONVÊNIO - UPE - IAUPE - OF JOSEPH PB&T BRASIL LTDA QUE TEM POR OBJETIVO A PRORROGAÇÃO DA VIGÊNCIA DO CONVÊNIO FIRMADO PELAS PARTES EM 20 DE AGOSTO DE 2019,ICB,GOIANA - PE
2019,PD&I,IAUPE,PAMESA 4.0 - DIGITALIZANDO A MANUFATURA,POLI,CABO DE SANTO AGOSTINHO - PE
2019,PD&I,IAUPE,DESENVOLVIMENTO DE UM PORTAL DE ANÁLISE DE IMAGENS,POLI,CURITIBA - PR
2019,RESITEC,UPE,PE 4.0,POLI,RECIFE - PE
2019,RESITEC,UPE,CLOUD COMPUTING,POLI,RECIFE - PE
2020,PD&I,IAUPE,ACIONAMENTO REMOTO DO SISTEMA PARA AVANÇO DE FERRAMENTA DA ROOT GRINDER,POLI,BOITUVA - SP
2020,PD&I,IAUPE,PROJETO 2: ANÁLISE DA VIDA ÚLTIL DE MODEMS ÓPTICOS SUBMETIDOS A SURTOS DE ALTA TENSÃO COM E SEM A PROTEÇÃO DE DISPOSITIVO DE PROTEÇÃO CONTRA SURTOS.,UNIDADE NÃO INFORMADA,LAGOA SANTA - MG
2020,PD&I,IAUPE,QUALYCRIL – FLOWBOARD ONLINE,POLI,JANDIRA - SP
2020,PD&I,IAUPE,MELHORIA DA QUALIDADE E GESTÃO DE DÍVIDA TÉCNICA EM PROJETOS DE SOFTWARE: POTENCIALIZANDO A COLABORAÇÃO ENTRE INDÚSTRIA E ACADEMIA,POLI,CARUARU - PE
2020,PD&I,IAUPE,SECAGEM DE MINÉRIOS USANDO ENERGIA SOLAR CONCENTRADA,POLI,RECIFE - PE
2020,PD&I,IAUPE,SISTEMA DE ANÁLISE E MINERAÇÃO DE SENTENÇAS,POLI,RECIFE - PE
2020,PD&I,IAUPE,DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO DAS VEDAÇÕES VERTICAIS DE EDIFICAÇÃO DE MÚLTIPLOS PAVIMENTOS,POLI,RECIFE - PE
2020,PD&I,IAUPE,"FASE 1 - PROJETO ""A"": BODYMAKER SMART SYSTEM",POLI,CABO DE SANTO AGOSTINHO - PE
2020,PD&I,IAUPE,"FASE 1 - PROJETO ""B"" PLATAFORMA ABERTA DE INTELIGÊNCIA DE MANUFATURA",POLI,CABO DE SANTO AGOSTINHO - PE
2020,PD&I,IAUPE,CAMPARI - PLATAFORMA ABERTA DE INTELIGÊNCIA DE MANUFATURA,POLI,CABO DE SANTO AGOSTINHO - PE
2020,RESITEC,IAUPE,INTELIGÊNCIA ARTIFICIAL,POLI,RECIFE - PE
2020,RESITEC,VIA NÃO INFORMADA,SUDENE - NE 4.0/2020,UNIDADE NÃO INFORMADA,RECIFE - PE
2021,PD&I,VIA NÃO INFORMADA,SISTEMA DE ANÁLISE E MINERAÇÃO DE SENTENÇAS TRABALHISTAS,POLI,RECIFE - PE
2021,PD&I,VIA NÃO INFORMADA,SISTEMA DE INSPEÇÃO 2 E 3D AUTOMÁTICO PARA DETECÇÃO DE DEFEITOS NAS COBERTURAS DE CORREIAS TRANSPORTADORAS,POLI,RECIFE - PE
2021,PD&I,VIA NÃO INFORMADA,ARRANJO TÉCNICO PARA AUMENTO DA CONFIABILIDADE E SEGURANÇA ELÉTRICA APLICANDO ARMAZENAMENTO DE ENERGIA POR BATERIAS E SISTEMAS FOTOVOLTAICOS AO SERVIÇO AUXILIAR DE SUBESTAÇÕES 230/500 KV,POLI,RECIFE - PE
2021,PD&I,VIA NÃO INFORMADA,DESENVOLVIMENTO DE UM SISTEMA DE ACOMPANHAMENTO DE PRODUÇÃO,POLI,BELO HORIZONTE - MG
2021,PD&I,VIA NÃO INFORMADA,SISTEMA INTELIGENTE PARA CONSTRUÇÃO DE CONTESTAÇÕES CÍVIS,POLI,RECIFE - PE
2021,PD&I,VIA NÃO INFORMADA,AUTOMAÇÃO DE PROCESSOS EM AMBIENTES DE GÊMEOS DIGITAIS: PROCESSOS INTERNOS DAS ORGANIZAÇÕES,POLI,RECIFE - PE
2021,PD&I,VIA NÃO INFORMADA,CLINICLABS: GERENCIAMENTO DE TECHNICAL DEBT E DESENVOLVIMENTO DE UM MÓDULO INTELIGENTE PARA PREDIÇÃO DE DOENÇAS,POLI,CARUARU - PE
2021,PD&I,VIA NÃO INFORMADA,DIAGNÓSTICO DE FALHAS EM TRANSFORMADORES DE CORRENTE,UNIDADE NÃO INFORMADA,RECIFE - PE
2021,PD&I,VIA NÃO INFORMADA,PLATAFORMA INTELIGENTE PARA ASSESSORIA JURÍDICA,POLI,RECIFE - PE
2021,PD&I,VIA NÃO INFORMADA,DETECÇÃO DE LANDMARKS EM IMAGENS ORTODÔNTICAS,POLI,RECIFE - PE
2021,PD&I,VIA NÃO INFORMADA,ANÁLISE DA VIDA ÚTIL DE LÂMPADAS LED SUBMETIDAS A SURTOS ELÉTRICOS DE ALTA TENSÃO,UNIDADE NÃO INFORMADA,LAGOA SANTA - MG
2021,PD&I,VIA NÃO INFORMADA,PLATAFORMA INTELIGENTE PARA ASSESSORIA JURÍDICA – 2.0,POLI,RECIFE - PE
2021,PD&I,VIA NÃO INFORMADA,ROCA 4.0 - FASE 1: PLATAFORMA DE INTELIGÊNCIA DE MANUFATURA APLICADA À PRENSA SACMI E A RASTREABILIDADE DE PRODUTOS EM PROCESSO,POLI,RECIFE - PE
2021,PD&I,VIA NÃO INFORMADA,SUB PROJETO Nº 2: AVALIAÇÃO DE SISTEMA NANOESTRUTURADO AMPARO® PARA TRATAMENTO DA COVID19,ICB,GOIANA - PE
2021,PD&I,VIA NÃO INFORMADA,INDORAMA FIBRAS 4.0 - FASE 1: ANALYTICS E ESTIMAÇÃO ONLINE DE CARACTERÍSTICAS DA FIBRA,POLI,CABO DE SANTO AGOSTINHO - PE
2021,PD&I,VIA NÃO INFORMADA,CAMPARI 4.0 - FASE 2: SISTEMA DE RASTREABILIDADE E ANALYTICS PARA PROCESSOS DE FORMULAÇÃO DE BEBIDAS,UNIDADE NÃO INFORMADA,CABO DE SANTO AGOSTINHO - PE
2021,PD&I,VIA NÃO INFORMADA,SOLDAGEM AUTÔNOMA POR INTELIGÊNCIA ARTIFICIAL,UNIDADE NÃO INFORMADA,SANTA CRUZ DE MINAS - MG
2021,PD&I,VIA NÃO INFORMADA,RAVE - RECONHECIMENTO DE ATRIBUTOS DE VEICULARES A PARTIR DE IMAGENS DE CÂMERAS DE TRÂNSITO,UNIDADE NÃO INFORMADA,CURITIBA - PR
2021,PD&I,VIA NÃO INFORMADA,1ª ETAPA: DESENVOLVER SISTEMA DE SECAGEM DO BAGAÇO DE CANA-DE-AÇÚCAR EM SISTEMA DE COGERAÇÃO DE ENERGIA.,UNIDADE NÃO INFORMADA,VITÓRIA DE SANTO ANTÃO - PE
2021,PD&I,VIA NÃO INFORMADA,DESENVOLVER PLATAFORMA DE IDENTIFICAÇÃO DE PRAZOS TRABALHISTAS,UNIDADE NÃO INFORMADA,RECIFE - PE
2021,PD&I,VIA NÃO INFORMADA,SMART-STREAM: COLETANDO E ANALISANDO DADOS DE ILUMINAÇÃO PÚBLICA A PARTIR DE UM STREAM DE DADOS,UNIDADE NÃO INFORMADA,CURITIBA - PR
2021,RESITEC,VIA NÃO INFORMADA,CIÊNCIA DE DADOS,UNIDADE NÃO INFORMADA,RECIFE - PE
2022,PD&I,VIA NÃO INFORMADA,PLATAFORMA INTELIGENTE PARA ASSESSORIA JURÍDICA 3.0,UNIDADE NÃO INFORMADA,RECIFE - PE
2022,PD&I,VIA NÃO INFORMADA,SINCRONIZAÇÃO INTELIGENTE DOS CICLOS DA ACIARIA,UNIDADE NÃO INFORMADA,RECIFE - PE
2022,PD&I,VIA NÃO INFORMADA,"DESENVOLVER UM MECANISMO ANTIPHISHING CAPAZ DE IDENTIFICAR E MITIGAR ATAQUES DE PHISHING DIRECIONADOS, COM SEU MODELO SUSTENTADO POR UMA ÁRVORE DE REGRAS BASEADAS EM REPUTAÇÃO",UNIDADE NÃO INFORMADA,RECIFE - PE
