Processo,Data de deposito,Nome da patente ,Autores,Cliente,Campus UPE,Depositantes,Código ,Status INPI,Territorio,Ultima atualização,Checagem,Unnamed: 12,Categoria_Aba,Pedido,Data,Titulo,Despacho,Status
BR 10 2025 020973 0,2025-09-29,CURATIVO DÉRMICO BIODEGRADÁVEL E SUSTENTÁVEL PARA O TRATAMENTO DE FERIDAS CRÔNICAS OU DE DIFÍCIL CICATRIZAÇÃO,"PRISCILLA BARBOSA SALES DE ALBUQUERQUE (UPE), ANA CAROLINA DE CARVALHO CORREIA (UPE), LUIZA RAYANNA AMORIM DE LIMA (UPE), NATALIE EMANUELLE RIBEIRO RODRIGUES (UPE), JAMYLLE NUNES DE SOUZA FERRO (UFAL), DANIEL MEDEIROS NUNES (UPE), FERNANDA ALEXANDRE DA SILVA (UFAL), EVERLAINE LEITE ESTEVAM DOS SANTOS (UFAL) ",UPE,ICB,"UPE, UFAL",2025-10-02 00:00:00,Notificação de recebimento do pedido de patente ou certificado de adição,Brasil,2025-10-07,2025-12-18,,Patentes,,,,,
BR 10 2025 020807 5,2025-09-26,PROCESSO DE SÍNTESE VERDE À FRIO DE NANOPARTÍCULAS DE PRATA A PARTIR DE EXTRATO AQUOSO DE ANGICO PARA USO EM CICATRIZAÇÃO DE FERIDAS,"ANAÍS BEZERRA DE GUSMÃO (UPE), ANA CAROLINA DE CARVALHO CORREIA (UPE), PEDRO HENRIQUE SETTE DE SOUZA (UPE), CASSIO ERACLITO ALVES DOS SANTOS (UFAL), JOHNNATAN DUARTE DE FREITAS (IFAL), CLARA ANDREZZA CRISÓSTOMO BEZERRA COSTA (IFAL)",UPE,"GARANHUNS, ARCOVERDE","UPE, UFAL, IFAL",2025-10-02 00:00:00,Notificação de recebimento do pedido de patente ou certificado de adição,Brasil,2025-10-07,2025-12-18,,Patentes,,,,,
BR 20 2025 017223 8,2025-08-15,EXTRATO DE Passiflora alata Curtis MICORRIZADA COM ATIVIDADE ANTI- INFLAMATÓRIA E NEUROPROTETORA,"SURA WANESSA NOGUEIRA SANTOS ROCHA (UPE), FÁBIO SÉRGIO BARBOSA DA SILVA (UPE), THAYS FERNANDA DA SILVA (UPE), EDUARDA LINS FALCÃO (UPE), LARISSA VALESKA MARIA DA SILVA BRITO (UPE)",UPE,ICB,UPE,2025-10-02 00:00:00,Notificação de recebimento do pedido de patente ou certificado de adição,Brasil,2025-08-26,2025-12-18,,Patentes,,,,,
BR 10 2025 016059 5,2025-07-31,,,UFPE,,"UFPE, IFPE, UPE",2025-10-02 00:00:00,Notificação de recebimento do pedido de patente ou certificado de adição,Brasil,2025-08-12,2025-12-18,,Patentes,,,,,
BR 10 2025 014346 1,2025-07-11,EQUIPAMENTO PARA ALERTA E MONITORAMENTO DE NÍVEL DE RUÍDO EM HOSPITAIS,"MARCO AURÉLIO DE VALOIS CORREIA JÚNIOR (UPE), MARCÍLIO ANDRÉ FÉLIX FEITOSA (UPE), GUSTAVO OLIVEIRA CAVALCANTI (UPE), JULIANA BARROS MARANHÃO (UPE), EDIL DE ALBUQUERQUE RODRIGUES FILHO (UFPE), EMÍLIA CHAGAS COSTA (UFPE)",UPE,"FCM, POLI","UPE, UFPE",2025-01-02 00:00:00,Pedido de Patente ou Certificado de Adição de Invenção Depositado,Brasil,2025-12-02,2025-12-18,,Patentes,,,,,
BR 10 2025 002785 2,2025-02-12,CURATIVO DÉRMICO (PolissAg Derm) BIODEGRADÁVEL E SUSTENTÁVEL PARA O TRATAMENTO DE FERIDAS CRÔNICAS OU DE DIFÍCIL CICATRIZAÇÃO,"PRISCILLA BARBOSA SALES DE ALBUQUERQUE (UPE), ANA CAROLINA DE CARVALHO CORREIA  (UPE), LUIZA RAYANNA AMORIM DE LIMA (UPE), NATALIE EMANUELLE RIBEIRO RODRIGUES (UPE), JAMYLLE NUNES DE SOUZA FERRO (UFAL), DANIEL MEDEIROS NUNES (UPE), FERNANDA ALEXANDRE DA SILVA  (UFAL), EVERLAINE LEITE ESTEVAM DOS SANTOS (UFAL)",UPE,Garanhuns,"UPE, UFAL",15.21,"Documentação arquivada e depósito não efetuado tendo em vista falta de cumprimento de exigência formal, conforme Art. 21 da Lei 9279/96 e Art. 5º §3º da Portaria INPI/DIRPA 14/2024",Brasil,2025-09-16,2025-12-18,,Patentes,,,,,
BR 10 2025 002182 0,2025-02-04,FLUIDO ANTIMICROBIANO A BASE DE ALGINATO INCORPORADO COM NANOPARTÍCULAS DO TIPO ZIF-8 E COBRE COMO MEDICAÇÃO INTRACANAL,"MARLENY ELIZABETH MÁRQUEZ DE MARTINEZ GERBI (UPE), SEVERINO ALVES JUNIOR (UFPE), ELOIZA LEONARDO DE MELO (UPE), JÉSSICA MEIRINHOS MIRANDA (UPE), CAIO DE LIMA PIRES (UPE), SUZANE IVILA SANTOS DA ROCHA (UPE), NATHALIA SEIMI DEAMA (UPE), IVALDO RODRIGUES DE ARAÚJO (UFPE), MARIA REGINA ALMEIDA DE MENEZES (UPE)",UPE,FOP,"UPE, UFPE",2025-01-02 00:00:00,Pedido de Patente ou Certificado de Adição de Invenção Depositado,Brasil,2025-07-15,2025-12-18,,Patentes,,,,,
BR 10 2025 002183 8,2025-02-04,SÍNTESE DE UM CURATIVO BIOADESIVO COM EFICÁCIA ANTIBACTERIANA SOBRE O STREPTOCCOCUS MUTANS,"MARLENY ELIZABETH MÁRQUEZ DE MARTINEZ GERBI (UPE), ALISON MENDES SILVA DE MELO (UPE), SEVERINO ALVES JUNIOR (UFPE), ELOIZA LEONARDO DE MELO (UPE), JÉSSICA MEIRINHOS MIRANDA (UPE), CLÁUDIO PAULO PEREIRA DE ASSIS (UPE), CAIO DE LIMA PIRES (UPE), SUZANE IVILA SANTOS DA ROCHA (UPE), NATHALIA SEIMI DEAMA (UPE)",UPE,FOP,UPE,2025-01-02 00:00:00,Pedido de Patente ou Certificado de Adição de Invenção Depositado,Brasil,2025-11-11,2025-12-18,,Patentes,,,,,
BR 10 2024 027612 4,2024-12-30,PROCESSO DE BIOSSEPARAÇÃO INTEGRADA DE FICOCIANINA OBTIDA DE UM MICRORGANISMO FOTOSSINTETIZANTE EM COLUNA ÚNICA,"DANIELA DE ARAÚJO VIANA MARQUES (UPE), MARIA RAFAELE OLIVEIRA BEZERRA DA SILVA (UPE)L BRUNA EMANUELLE GOMES DO NASCIMENTO (UPE)",UPE,ICB,UPE,15.21,"Documentação arquivada e depósito não efetuado tendo em vista falta de cumprimento de exigência formal, conforme Art. 21 da Lei 9279/96 e Art. 5º §3º da Portaria INPI/DIRPA 14/2024",Brasil,2025-07-15,2025-12-18,,Patentes,,,,,
BR 10 2024 026204 2,2024-12-13,"PROCESSO DE SÍNTESE VERDE À FRIO DE NANOPARTÍCULAS
DE PRATA A PARTIR DE EXTRATO AQUOSO DE ANGICO PARA
USO EM CICATRIZAÇÃO DE FERIDAS","ANAÍS BEZERRA DE GUSMÃO (UPE), ANA CAROLINA DE CARVALHO CORREIA (UPE), PEDRO HENRIQUE SETTE DE SOUZA (UPE), CASSIO ERACLITO ALVES DOS SANTOS (UFAL), JOHNNATAN DUARTE DE FREITAS (IFAL), CLARA ANDREZZA CRISÓSTOMO BEZERRA COSTA (UFAL)",UPE,Garanhuns,"UPE, UFAL, IFAL",15.21,"Documentação arquivada e depósito não efetuado tendo em vista falta de cumprimento de exigência formal, conforme Art. 21 da Lei 9279/96 e Art. 5º §3º da Portaria INPI/DIRPA 14/2024",Brasil,2025-06-17,2025-12-18,,Patentes,,,,,
BR 10 2024 025737 5,2024-12-09,,EDUARDO CESAR DE MIRANDA LOUREIRO (UPE),EDUARDO CESAR DE MIRANDA LOUREIRO (UPE),POLI,UPE,2025-01-02 00:00:00,Pedido de Patente ou Certificado de Adição de Invenção Depositado,Brasil,2025-06-17,2025-12-18,,Patentes,,,,,
BR 20 2024 019708 4,2024-09-25,,DIEGO RATIVA (UPE),"DIEGO J MILLAN RATIVA, UPE",POLI,UPE,15.21,Pedido com Numeração Anulada tendo em vista falta de cumprimento de exigência formal,Brasil,2025-04-01,2025-12-18,,Patentes,,,,,
BR 10 2024 018131 0,2024-09-03,,,"MK DIGITAL LTDA / FUNDAÇÃO UNIVERSIDADE DE PERNAMBUCO UPE, GILBERTO DENIS DE SOUZA LEITE FILHO/ JOÃO FAUSTO LORENZATO DE OLIVEIRA, ALDONSO MARTINS DE OLIVEIRA JUNIOR, ALEXANDRE MAGNO ANDRADE MACIEL, DIEGO JOSÉ RÁTIVA MILLÁN ",POLI,UPE,2025-01-02 00:00:00,Pedido de Patente ou Certificado de Adição de Invenção Depositado,Brasil,2025-09-23,2025-12-18,,Patentes,,,,,
BR 10 2024 011312 8,2024-06-05,UPE,"DANIELA DE ARAÚJO VIANA MARQUES (UPE), MARIA RAFAELE OLIVEIRA BEZERRA DA SILVA (UPE)L BRUNA EMANUELLE GOMES DO NASCIMENTO (UPE)",UPE,ICB,UPE,15.21,"Documentação arquivada e depósito não efetuado tendo em vista falta de cumprimento de exigência formal, conforme Art. 21 da Lei 9279/96 e Art. 5º §3º da Portaria INPI/DIRPA 14/2024",Brasil,2025-12-18,2025-12-18,,Patentes,,,,,
BR 20 2024 003118 6,2024-02-16,EQUIPAMENTO AUTOMATIZADO PARA MEDIÇÃO DA FORÇA DE RETENÇÃO DE PRÓTESES DENTÁRIAS,ROGÉRIO PONTES DE ARAÚJO (USP) / SANDRA LÚCIA DANTAS DE MORAES (UPE) / RAYANNA THAYSE FLORÊNCIO COSTA (UPE) / WISKLLEY GUIMARÃES DA SILVA ADÃO / EVERTON DA SILVA PAIVA,"UPE, USP",FOP,ROGÉRIO PONTES DE ARAÚJO / SANDRA LÚCIA DANTAS DE MORAES / RAYANNA THAYSE FLORÊNCIO COSTA/ WISKLLEY GUIMARÃES DA SILVA ADÃO (BR/PE) / EVERTON DA SILVA PAIVA / FUNDAÇÃO UNIVERSIDADE DE PERNAMBUCO - UPE (BR/PE),2025-01-03 00:00:00,3.1 Pedido de Patente ou de Certificado de Adição de Invenção Publicado,Brasil,2025-12-18,2025-12-18,,Patentes,,,,,
BR 10 2024 002088 0,2024-02-01,PRODUTO ATÓXICO COM ATIVIDADE ANTI-Trypanosoma cruzi CONSITUTÍDO POR PROTEÍNA DE Arthrospira platensis,DANIELA DE ARAÚJO VIANA MARQUES (UPE),UFRPE e UPE,ICB,UPE E UFRPE,15.21,"Documentação arquivada e depósito não efetuado tendo em vista falta de cumprimento de exigência formal, conforme Art. 21 da Lei 9279/96 e Art. 5º §3º da Portaria INPI/DIRPA 14/2024",Brasil,2025-12-18,2025-12-18,,Patentes,,,,,
