Ano,Natureza,Via,TRL,Projeto,Instituição,Setor,Segmento,Receita,Coordenador,Unidade,Cidade,Região,Bolsas de Graduação,Bolsas de Mestrado,Bolsas de Doutorado,Bolsas de Pesquisadores,Bolsas de Coordenador,Bolsas de Nível Médio/Aprendiz,Bolsas de Professores,Total de Bolsas,Vigência,Unnamed: 22,Vigente,SEI,ABA_ORIGEM,Unnamed: 1,Unnamed: 2,mood,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,F,IAUPE %,IIT,UNIDADE
2017.0,PD&I,IAUPE,5.0,Análise de dados no Cadastro da Rede de Distribuição Secundária de Energia,In Forma Software S.A.,Privado,Tecnologia da Informação,54120.0,Alexandre Magno Andrade Maciel,POLI,Recife - PE,RMR - Núcleo Centro,1.0,2.0,,,1.0,,,4.0,2017-08-01,2022-08-01 00:00:00,Não Vigente,0040610072.000028/2023-34,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017.0,PD&I,IAUPE,5.0,Um sistema de predição baseado em Sentenças Judiciais extraídas de dados oficiais do Sistema Judiciário utilizando Mineração Textual,Kurier Tecnologia Em Informação Ltda,Privado,Tecnologia da Informação,62040.0,Alexandre Magno Andrade Maciel,POLI,Recife - PE,RMR - Núcleo Centro,1.0,2.0,,,2.0,,,5.0,2017-08-01,2022-08-01 00:00:00,Não Vigente,0040610072.000033/2023-47,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018.0,PD&I,IAUPE,0.0,Algorítmos de reconhecimento de escrita e processamento de Imagens para BPO de documentos,Callere Soluções e Comercialização em Informática S/A,Privado,Tecnologia da Informação,67320.0,Byron Leite Dantas Bezerra,POLI,Olinda - PE,RMR - Núcleo Centro,,,,,,,,0.0,2018-01-01,2020-08-01 00:00:00,Não Vigente,0040610072.000035/2023-36,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018.0,PD&I,IAUPE,0.0,Projeto 1: Análise da vida Útil de Equipamentos eletrodomésticos protegidos por dispositivo de proteção contra surtos.,Clamper Indústria e Comércio S.A,Privado,Indústria de Eletrônicos,98640.0,Gustavo Oliveira Cavalcanti,,Lagoa Santa - MG,Externo,1.0,1.0,,2.0,1.0,,,5.0,2018-03-29,2018-08-31 00:00:00,Não Vigente,0040610072.000037/2023-25,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.0,PD&I,IAUPE,0.0,Integração de sistema de Analytics em Tempo Real em Planta Industrial,ASA Indústria e Comércio Ltda.,Privado,Indústria de Limpeza e Higiene,24960.0,Gilberto Dênis de Souza Leite Filho,POLI,Recife - PE,RMR - Núcleo Centro,,1.0,,1.0,1.0,,,3.0,2019-07-19,2019-12-31 00:00:00,Não Vigente,0040610072.000027/2023-90,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.0,PD&I,IAUPE,0.0,Sub Projeto Nº 1: Estudo de isolados do Vírus da Artrite-Encefalite Caprina (CAEV) para imunoterapia de infecções por retrovírus heterólogos,Of Joseph PB&T Brasil Ltda.,Privado,Pesquisa e Desenvolvimento,746531.82,Patricia Moura,ICB,Goiana - PE,Mata Norte,,,,,,,,0.0,2019-11-05,2020-11-05 00:00:00,Não Vigente,0040608325.000169/2022-13,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.0,PD&I,IAUPE,0.0,Termo Aditivo - CONVÊNIO - UPE - IAUPE - OF JOSEPH PB&T BRASIL LTDA que tem por objetivo a prorrogação da vigência do convênio firmado pelas partes em 20 de agosto de 2019,Of Joseph PB&T Brasil Ltda.,Privado,Pesquisa e Desenvolvimento,0.0,Patricia Moura,ICB,Goiana - PE,Mata Norte,,,,,,,,0.0,2019-08-20,2025-09-01 00:00:00,Não Vigente,0040608325.000169/2022-13,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.0,PD&I,IAUPE,0.0,PAMESA 4.0 - Digitalizando a Manufatura,Pamesa do Brasil S/A,Privado,Indústria de Materiais de Construção,30000.0,Gilberto Dênis de Souza Leite Filho,POLI,Cabo de Santo Agostinho - PE,RMR - Núcleo Oeste/Sul,2.0,,,,1.0,,,3.0,2019-12-02,2020-12-31 00:00:00,Não Vigente,0040610072.000005/2023-20,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.0,PD&I,IAUPE,0.0,Desenvolvimento de um Portal de Análise de Imagens,Pumatronix Equipamentos Eletrônicos Ltda.,Privado,Tecnologia da Informação,104975.0,João Fausto Lorenzato de Oliveira,POLI,Curitiba - PR,Externo,,,2.0,1.0,1.0,,,4.0,2019-12-03,2021-12-03 00:00:00,Não Vigente,0040610072.000029/2023-89,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.0,RESITEC,UPE,0.0,PE 4.0,Sudene,Público,Pesquisa e Desenvolvimento,340000.0,Djalma Silva Guimarães Junior,POLI,Recife - PE,RMR - Núcleo Centro,,,,,,,,0.0,2019-12-30,2023-06-30 00:00:00,Não Vigente,0040608325.000026/2020-31,Dados dos Projetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
