NOME,UNIDADE,MODALIDADE BOLSA PRODUTIVIDADE,NIVEL,ANO_REFERENCIA,AGENCIA_FOMENTO
PATRÍIA TAKAKO ENDO,CARUARU,PQ,2,2023,NÃO IDENTIFICADO
MAURO VIGÍLIO GOMES DE BARROS,ESEF,PQ,1-D,2023,NÃO IDENTIFICADO
FÁBIO ROCHA FORMIGA,FCM,DT,2,2023,NÃO IDENTIFICADO
ARONITA ROSENBLATT,FOP,PQ,2,2023,NÃO IDENTIFICADO
BELMIRO CAVALCANTI DO EGITO VASCONCELOS,FOP,PQ,1-D,2023,NÃO IDENTIFICADO
XAVIER ARNAN VIADIU,GARANHUNS,PQ,2,2023,NÃO IDENTIFICADO
BRUNO DE MELO CARVALHO,ICB,PQ,2,2023,NÃO IDENTIFICADO
DANIELA DE ARAÚJO VIANA MARQUES,ICB,PQ,2,2023,NÃO IDENTIFICADO
FÁBIO SÉRGIO BARBOSA DA SILVA,ICB,PQ,2,2023,NÃO IDENTIFICADO
MARIANA GUENTHER SOARES,ICB,PQ,2,2023,NÃO IDENTIFICADO
ROMERO MARCOS PEDROSA BRANDÃO COSTA,ICB,DT,2,2023,NÃO IDENTIFICADO
KARL SCHURSTER VERÍSSIMO DE SOUZA LEÃO,MATA NORTE,PQ,E,2023,NÃO IDENTIFICADO
PAULO MILET-PINHEIRO,PETROLINA,PQ,2,2023,NÃO IDENTIFICADO
ALEXANDRE MAGNO ANDRADE MACIEL,POLI,DT,2,2023,NÃO IDENTIFICADO
ANDRÉ LUIZ DA MOTA VILELA,POLI,PQ,2,2023,NÃO IDENTIFICADO
BRUNO JOSÉ TORRES FERNANDES,POLI,DT,2,2023,NÃO IDENTIFICADO
BYRON LEITE DANTAS BEZERRA,POLI,DT,2,2023,NÃO IDENTIFICADO
CARMELO JOSÉ ALBANEZ BASTOS FILHO,POLI,PQ,1-C,2023,NÃO IDENTIFICADO
DANIEL AUGUSTO RIBEIRO CHAVES,POLI,PQ,2,2023,NÃO IDENTIFICADO
DIEGO JOSÉ RATIVA MILLAN,POLI,PQ,2,2023,NÃO IDENTIFICADO
FERNANDO BUARQUE DE LIMA NETO,POLI,PQ,2,2023,NÃO IDENTIFICADO
FRANCISCO MADEIRO BERNARDINO JÚNIOR,POLI,PQ,2,2023,NÃO IDENTIFICADO
JAIME JOAQUIM DA SILVA PEREIRA CABRAL,POLI,PQ,1-C,2023,NÃO IDENTIFICADO
MANOEL HENRIQUE DA NÓBREGA MARINHO,POLI,PQ,2,2023,NÃO IDENTIFICADO
SÉRGIO PERES RAMOS DA SILVA,POLI,DT,2,2023,NÃO IDENTIFICADO
