NOME,UNIDADE,ÁREA DE CONHECIMENTO,MODALIDADE BOLSA PRODUTIVIDADE,NIVEL,ANO_REFERENCIA,AGENCIA_FOMENTO
ALEXANDRE MAGNO ANDRADE MACIEL,POLI,CIÊNCIAS EXATAS E DA TERRA,DT,2,2024,CNPQ
ANDRÉ LUIZ DA MOTA VILELA,POLI,CIÊNCIAS EXATAS E DA TERRA,PQ,E,2024,CNPQ
ARONITA ROSENBLATT,FOP,CIÊNCIAS DA SAÚDE,PQ,E,2024,CNPQ
BELMIRO CAVALCANTI DO EGITO VASCONCELOS,FOP,CIÊNCIAS DA SAÚDE,PQ,D,2024,CNPQ
BRUNO DE MELO CARVALHO,ICB,CIÊNCIAS BIOLÓGICAS,PQ,E,2024,CNPQ
BRUNO JOSÉ TORRES FERNANDES,POLI,CIÊNCIAS EXATAS E DA TERRA,DT,2,2024,CNPQ
BYRON LEITE DANTAS BEZERRA,POLI,CIÊNCIAS EXATAS E DA TERRA,DT,2,2024,CNPQ
CARLOS ANDRÉ SILVA DE MOURA,MATA NORTE,CIÊNCIAS HUMANAS,PQ,E,2024,CNPQ
CARMELO JOSÉ ALBANEZ BASTOS FILHO,POLI,CIÊNCIAS EXATAS E DA TERRA,PQ,C,2024,CNPQ
DANIEL AUGUSTO RIBEIRO CHAVES,POLI,CIÊNCIAS EXATAS E DA TERRA,PQ,E,2024,CNPQ
DANIELA DE ARAÚJO VIANA MARQUES,ICB,CIÊNCIAS BIOLÓGICAS,PQ,E,2024,CNPQ
DIEGO JOSÉ RATIVA MILLAN,POLI,CIÊNCIAS EXATAS E DA TERRA,PQ,E,2024,CNPQ
FÁBIO ROCHA FORMIGA,FCM,CIÊNCIAS DA SAÚDE,DT,2,2024,CNPQ
FÁBIO SÉRGIO BARBOSA DA SILVA,ICB,CIÊNCIAS AGRÁRIAS,PQ,E,2024,CNPQ
FERNANDO BUARQUE DE LIMA NETO,POLI,CIÊNCIAS EXATAS E DA TERRA,PQ,E,2024,CNPQ
FRANCISCO MADEIRO BERNARDINO JÚNIOR,POLI,CIÊNCIAS EXATAS E DA TERRA,PQ,E,2024,CNPQ
JAIME JOAQUIM DA SILVA PEREIRA CABRAL,POLI,ENGENHARIAS,PQ,C,2024,CNPQ
JOÃO FAUSTO LORENZATO DE OLIVEIRA,POLI,CIÊNCIAS EXATAS E DA TERRA,PQ,E,2024,CNPQ
JULIANO MENDONCA DOMINGUES DA SILVA,FCAP,CIÊNCIAS HUMANAS,PQ,2,2024,CNPQ
KARL SCHURSTER VERÍSSIMO DE SOUZA LEÃO,MATA NORTE,CIÊNCIAS HUMANAS,PQ,E,2024,CNPQ
LUIS ARTURO GÓMEZ MALAGÓN,POLI,ENGENHARIAS,PQ,E,2024,CNPQ
MANOEL HENRIQUE DA NÓBREGA MARINHO,POLI,CIÊNCIAS EXATAS E DA TERRA,PQ,E,2024,CNPQ
MARIA TEREZA CARTAXO MUNIZ,ICB,CIÊNCIAS DA SAÚDE,PQ,E,2024,CNPQ
MARIANA GUENTHER SOARES,ICB,CIÊNCIAS BIOLÓGICAS,PQ,E,2024,CNPQ
MAURO VIGÍLIO GOMES DE BARROS,ESEF,CIÊNCIAS DA SAÚDE,PQ,D,2024,CNPQ
PATRÍIA TAKAKO ENDO,CARUARU,CIÊNCIAS EXATAS E DA TERRA,PQ,E,2024,CNPQ
PAULO MILET-PINHEIRO,PETROLINA,CIÊNCIAS BIOLÓGICAS,PQ,E,2024,CNPQ
RODRIGO CAPPATO DE ARAÚJO,PETROLINA,CIÊNCIAS DA SAÚDE,PQ,E,2024,CNPQ
ROMERO MARCOS PEDROSA BRANDÃO COSTA,ICB,CIÊNCIAS AGRÁRIAS,DT,2,2024,CNPQ
SANDRA LÚCIA DANTAS DE MORAES,FOP,CIÊNCIAS DA SAÚDE,PQ,E,2024,CNPQ
SÉRGIO PERES RAMOS DA SILVA,POLI,ENGENHARIAS,DT,2,2024,CNPQ
SINARA MÔNICA VITALINO DE ALMEIDA,GARANHUNS,CIÊNCIAS BIOLÓGICAS,PQ,E,2024,CNPQ
XAVIER ARNAN VIADIU,GARANHUNS,CIÊNCIAS BIOLÓGICAS,PQ,E,2024,CNPQ
ANA CAROLINA RODARTI PITANGUI DE ARAÚJO,PETROLINA,CIÊNCIAS DA SAÚDE,PQ,,2024,FACEPE
FERNANDO DA SILVA CARDOSO,GARANHUNS,CIÊNCIAS SOCIAIS APLICADAS,PQ,,2024,FACEPE
GEAM KARLO GOMES,GARANHUNS,CIÊNCIAS HUMANAS,PQ,,2024,FACEPE
LUIZA RAYANNA AMORIM DE LIMA,GARANHUNS,CIÊNCIAS BIOLÓGICAS,PQ,,2024,FACEPE
PAULO ADRIANO SCHWINGEL,PETROLINA,CIÊNCIAS DA SAÚDE,PQ,,2024,FACEPE
